id,es,en
SHIELD1_TEXT_11_5,"Solo para que lo sepas, estoy aquí para protegerla",Just so you know I am here to protect her
SHIELD1_TEXT_13_6,"del Enjambre, pero también de ti.",From the Swarm but also from you.
SHIELD1_TEXT_15_7,Sé lo peligrosos que pueden ser los títeres.,I know how dangerous puppets are.
SHIELD1_CHOICE_16_8,- ¿Qué es un títere?,- What is a puppet?
SHIELD1_TEXT_18_9,"Un títere es lo que eres, duh.",A puppet is what you are duh.
SHIELD1_TEXT_20_10,Básicamente eres como una armadura viviente.,"Well, you are basically like a living armor."
SHIELD1_TEXT_21_11,Una entidad peligrosa y traicionera ligada a unas ropas.,A dangerous and backstabbing entity bond to some clothes.
SHIELD1_TEXT_23_12,Y te eliminaré si es necesario.,And I'll put you down if I need to.
SHIELD1_TEXT_25_13,Así que no causes problemas.,So don't cause any trouble.
SHIELD1_CHOICE_26_14,- Nada,- Nothing
SHIELD1_TEXT_28_15,"Huh, entonces deja de molestarme.",Huh so stop annoying me.
SHIELD1_TEXT_30_16,Solo entra en las cavernas y mata algunos insectos.,Just go into the caverns and kill some bugs.
PPRIEST_TEXT_4_0,"¡Saludos, títere!",Greetings puppet!
PPRIEST_QUESTION_6_1,¿Tienes alguna pregunta para tu invocadora?,Do you have any questions for your summoner?
PPRIEST_CHOICE_7_2,- ¿Cómo aprendiste a invocar?,- How did you learn to summon?
PPRIEST_TEXT_8_3,"Bueno, cuando era joven me uní al gremio de sacerdotes de títeres.","Well, when I was young I joined the puppetpriests guild."
PPRIEST_TEXT_10_4,Allí aprendí a controlar y manifestar la esencia dentro de mí.,There I learned to control and manifest the essence within me.
PPRIEST_TEXT_11_5,Y con años de entrenamiento y aprendizaje...,And with more years of training and learning...
PPRIEST_TEXT_12_6,Aprendí a invocar un títere o Vírhal sálëth como decimos.,I learned how to summon a puppet or Vírhal sálëth as we say.
PPRIEST_TEXT_14_7,"Y como sabes, eso es lo que eres.",And as you know that's what you are.
PPRIEST_CHOICE_15_8,- ¿Cuál es mi tarea?,- What is my task?
PPRIEST_TEXT_17_9,Tu tarea es ganar esencia.,Your task is to gain essence.
PPRIEST_TEXT_18_10,La obtienes liberando a los insectos en las cavernas.,You gain it by freeing the bugs at the caverns.
PPRIEST_TEXT_20_11,Puedes entrar a las cavernas por la gran puerta a tu izquierda.,You can enter the caverns through the big door on your left.
EXAMPLEE_TEXT_1_0,holaaaa,helloooo
WIN1_TEXT_4_0,"Wow, esa carnicería fue impresionante.",Wow that carnage was awesome.
WIN1_TEXT_6_1,Es verdad.,That's true.
WIN1_TEXT_8_2,"Además, algunos insectos están empezando a llamarte el SAQUEADOR.",Also some bugs are starting to call you the PILLAGER.
WIN1_TEXT_10_3,Esta fama seguramente nos beneficiará.,This fame will surely benefit us.
WIN1_TEXT_13_4,Veo que a veces puedes ser útil.,I see you can be useful sometimes.
WIN1_TEXT_15_5,Pero tendrás que matar más insectos para mantener esa fama.,But you will have to kill more bugs to keep that fame up.
WIN2_TEXT_3_0,¡Estás mejorando en esto!,You are getting better at this!
WIN2_TEXT_5_1,"Con cada insecto que aplastas, tu fama crece.",With every bug you crush your fame grows.
WIN2_TEXT_7_2,Y eso es para lo que estamos aquí.,And that is what we are here for.
WIN2_TEXT_8_3,¡Buen trabajo!,Good job!
WIN2_TEXT_11_4,Pero no dejes que se te suba a la cabeza.,But don’t let it go to your head.
WIN2_TEXT_13_5,Necesitarás esa fama para seguir subiendo.,You will need that fame to keep going up.
WIN2_TEXT_15_6,"Pero buen trabajo, supongo...",But good job I guess...
WIN3_TEXT_4_0,...,...
WIN3_TEXT_6_1,Me encanta ese olor a sangre de insecto...,I love that smell of bug blood...
WIN3_TEXT_8_2,¡Así es como se hace!,That's howk it's donek!
WIN3_TEXT_12_3,Mi hermana parece orgullosa del trabajo que estás haciendo aquí.,My sister seems proud of the work you are doing here.
WIN3_TEXT_14_4,Realmente está valiendo la pena.,It is really paying off.
WIN3_TEXT_16_5,Toda esta sangre de insectos puede atraer a un repetidor.,All this bug blood may attract a repeater.
WIN3_TEXT_18_6,Sigue cubriendo las cavernas con cadáveres de insectos y estaremos bien.,Keep covering the caverns with bug corpses and we will be good.
WIN4_TEXT_4_0,Algo grande se acerca...,Something big is coming...
WIN4_TEXT_7_1,"Eso es, hemos atraído a un repetidor. Tendrás que enfrentarlo.",That's it we have attracted a repeater. You will have to fight it.
WIN4_TEXT_9_2,"Por favor, gana la pelea y habremos cumplido nuestro objetivo.",Please win the fight and we will have accomplished our objective.
